age;gender;loan_balance_0m
71;;0
49;;0
56;;0
47;;0
74;;0
72;Ì;0
46;;0
62;;0
39;;0
36;Ì;32413.52
56;F;61189.99
19;Ì;0
20;F;0
51;Ì;0
50;F;521337.41
32;Ì;0
28;Ì;179900.88
21;F;0
59;Ì;0
50;Ì;0
30;F;25399.19
68;Ì;0
37;F;0
56;F;6188
30;F;0
62;Ì;0
52;Ì;169373.75
30;Ì;968592.47
46;F;0
53;F;0
61;F;0
38;Ì;0
56;F;0
57;F;0
46;Ì;0
20;F;0
49;F;6000
29;Ì;128771.61
41;Ì;44398.14
20;F;0
60;Ì;0
32;Ì;0
42;Ì;0
27;F;0
27;Ì;0
28;Ì;0
50;F;0
31;F;84082.75
36;Ì;1485883.38
41;Ì;530103.88
20;Ì;0
31;Ì;0
35;Ì;0
54;Ì;269206.72
20;Ì;0
40;Ì;95267.58
41;Ì;252080.33
36;Ì;0
29;Ì;0
20;Ì;0
26;;0
25;;0
44;Ì;0
23;;0
23;;0
20;F;0
28;;0
18;Ì;0
25;F;0
55;F;232805.44
51;Ì;0
51;Ì;22064.38
26;Ì;0
29;Ì;0
55;Ì;0
40;Ì;686677.12
33;Ì;0
48;F;212570.44
26;F;0
57;F;0
37;Ì;0
40;F;370710.22
50;;0
40;;0
44;Ì;0
28;Ì;111732.46
51;F;0
55;Ì;2772816.02
43;Ì;1491094.44
30;Ì;0
51;Ì;0
39;Ì;0
33;Ì;0
39;Ì;0
37;Ì;263121.54
47;Ì;617881.48
27;F;0
38;F;0
40;F;0
48;Ì;0
26;F;0
51;F;954144.04
29;F;0
25;F;0
26;F;0
42;Ì;0
36;Ì;0
28;Ì;0
41;Ì;0
49;Ì;0
29;Ì;0
41;Ì;0
39;Ì;0
35;F;0
25;F;0
59;F;0
39;F;0
24;F;38874
52;F;0
43;F;830167.88
65;F;0
54;F;0
28;Ì;0
36;Ì;21432.4
40;Ì;0
51;Ì;0
34;Ì;89614.77
19;Ì;0
27;Ì;395290.75
40;Ì;0
28;F;0
52;Ì;0
24;Ì;0
39;F;0
36;Ì;0
52;F;0
20;F;0
21;;0
34;Ì;0
53;Ì;0
50;Ì;0
20;;0
40;F;0
21;F;0
21;;0
60;Ì;0
21;F;0
58;F;36831.34
23;Ì;0
24;;0
24;;0
36;Ì;168966.99
21;;0
43;F;0
40;Ì;0
41;Ì;0
32;Ì;1235725.35
54;Ì;1068127.17
14;Ì;0
37;Ì;974691.77
37;Ì;0
33;F;0
45;F;0
31;Ì;0
41;Ì;0
18;;0
38;F;65622.15
48;F;0
29;Ì;0
50;Ì;0
56;Ì;0
60;Ì;0
50;;0
25;Ì;0
47;F;0
68;Ì;0
52;F;0
27;Ì;0
42;F;26428.97
18;Ì;0
48;F;0
31;Ì;0
